Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Nigeria,566,0.016478111,0.709429875,-0.792040264,1.250907479,-0.368124176,6.255436144,-0.497577295,3.248522144,0.266724316,-0.516776687
Niue,570,999,999,999,999,999,999,999,999,999,999
Norfolk Island,574,999,999,999,999,777,999,999,999,999,999
Norway,578,0.535410039,-0.389107297,0.15007048,-0.098272578,-0.069149738,0.834145897,0.02897972,-0.424118294,0.280516849,0.046815068
Micronesia,583,-0.891185844,777,999,-0.565469293,777,999,777,999,-0.927445858,10.522814
Marshall Islands,584,1.598077583,-0.837477868,-0.674796748,777,999,777,999,999,-0.377588523,777
Palau,585,0.726144898,-0.66566193,-0.981246146,777,999,999,777,999,-0.734522672,777
Pakistan,586,-0.146962387,0.223727851,0.733257307,-0.307687328,0.900119143,-0.301583543,-0.189262137,0.111096803,-0.149223163,0.954940249
Panama,591,-0.258644026,0.993225175,0.18374152,0.524235782,0.398267552,0.38489656,-0.673674533,2.17608371,0.115131482,0.043092784
Papua New Guinea,598,-0.13761801,3.529789474,1.01713801,-0.297925775,2.42408828,-0.405108483,1.237897493,-0.476935426,0.844430222,0.384370709
Paraguay,600,0.065802299,0.110391914,0.177792688,0.424767078,2.516864297,1.373151208,-0.817708659,7.484072146,1.373172524,-0.269487494
Peru,604,-0.176516581,0.68210512,0.106443893,0.286572931,0.593988862,0.561717873,-0.082567422,0.121320914,0.07645975,1.267864493
Philippines,608,-0.151916146,-0.058528413,1.14909332,-0.240223726,0.533799425,0.56460354,-0.299479566,0.187015242,0.180195609,0.157923344
Pitcairn Islands,612,999,999,999,999,999,999,999,999,999,999
Poland,616,0.061545777,0.285173738,0.823279008,0.330011888,-0.212182394,0.554413753,-0.383320514,0.375366635,0.032594923,0.479612288
Portugal,620,1.005112888,0.18709671,-0.269035789,-0.230895508,1.146146365,0.096992099,-0.325735408,-0.177484254,46.48545365,-0.971267903
Guinea-Bissau,624,999,999,999,999,999,999,999,777,999,999
Timor-Leste,626,999,999,999,999,777,999,999,999,777,999
Qatar,634,0.0845892,0.699770133,1.730053593,0.621521958,0.731442441,0.762538843,-0.581600766,-0.644308554,0.841848256,1.087288895
Reunion,638,999,4.661888078,0.87870926,777,999,777,999,-0.849841211,-0.786126121,-0.617504836
Romania,642,-0.256360602,0.380390222,1.924412007,-0.074482382,0.012131639,1.847724044,-0.356414218,0.026606299,1.00826891,-0.048643337
Russia,643,-0.680145034,1.696785542,0.412675901,0.790071912,0.904347976,0.622595615,-0.757885863,0.494498329,1.013472356,0.197122134
Rwanda,646,999,999,999,999,0.500107527,-0.89717583,777,999,777,999
St Helena,654,999,999,999,999,777,999,999,999,999,999
St Kitts and Nevis,659,3.30899237,-0.434141498,2.818729527,0.78074596,-0.211447151,1.719571525,-0.864251506,-0.415509396,0.188686399,1.269009952
Anguilla,660,-0.937908338,13.77754569,777,999,0.94312007,1.365037662,-0.235657311,777,999,-0.969819323
St Lucia,662,-0.39256146,-0.169960347,4.954258858,-0.153385154,-0.248279223,-0.247275771,1.837000522,-0.736301321,3.883369135,-0.437870624
