Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Sudan,729,999,999,999,999,999,40.86618089,777,999,999,999
Suriname,740,-0.804972968,0.04618234,0.540879066,17.41836016,-0.486442853,0.857244916,2.637615301,0.27868398,-0.082547924,0.364711264
"Svalbard, Jan Mayen Island",744,999,999,999,999,999,999,999,999,999,777
Swaziland,748,1.7767842,0.048584445,0.272507095,2.467398769,-0.957656548,-0.109052031,5.77585,-0.424323148,-0.493321711,2.930049585
Sweden,752,0.073136211,0.111219183,-0.143417819,0.066475851,0.094937005,-0.245318223,-0.539135858,0.657559626,0.237171458,-0.287561947
Switzerland,756,-0.093240866,1.519262431,1.11657909,0.00483879,-0.027334376,0.197430607,-0.281441107,-0.426026904,0.533366106,-0.19392701
Syria,760,-0.660760735,-0.057129253,-0.222684566,0.255723775,-0.52788045,-0.371437848,0.952294663,-0.338259769,-0.773782174,777
Tajikistan,762,0.371369536,2.129501281,1.123531571,-0.857825251,-0.223792533,777,999,999,999,999
Thailand,764,0.01380802,0.083258784,0.133759544,0.029484097,0.067938461,0.207221741,-0.055458861,0.337879214,0.051925733,0.169371723
Togo,768,999,-0.37613305,-0.096373973,-0.217024132,0.607142857,0.439333333,-0.605133549,2.319289945,1.373949407,-0.463525372
Tokelau,772,6.149356984,-0.906089891,2.730647292,6.83562905,2.69988612,-0.679424183,-0.966426128,777,999,2.444273201
Tonga,776,999,999,999,999,999,13.0092827,777,999,777,999
Trinidad and Tobago,780,-0.196854779,0.078207569,0.50815356,0.215432394,0.716152727,0.06100052,-0.023502265,-0.165734038,0.373649892,0.005445164
United Arab Emirates,784,0.827806074,-0.09842826,0.280246891,0.662723209,0.799827654,0.086612409,-0.434090095,0.529960956,0.464692423,-0.046012002
Tunisia,788,-0.258319694,3.752469118,11.20070817,1.759930345,-0.880418888,-0.233569943,-0.36004454,0.419806771,-0.033426747,2.117002609
Turkey,792,-0.319364421,0.621145906,0.126229004,-0.025599337,0.981730952,0.382109904,-0.208362429,-0.218153211,0.864090118,-0.367225784
Turkmenistan,795,777,999,777,999,28.27209152,-0.125521135,3.140535754,-0.881070765,0.968686673,-0.255225542
