Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Mozambique,508,-0.898966125,13.40445905,1.686589673,0.721267764,1.066797832,0.302229653,-0.055677369,0.246296052,-0.252112999,-0.381462304
Oman,512,-0.181105355,-0.119122936,0.162915813,0.50996332,0.634022241,0.569272708,-0.59254602,1.187393201,0.65139405,0.606194441
Namibia,516,4.663946289,-0.484991305,-0.723913613,6.165684904,-0.461067415,0.773746122,3.582220133,-0.407357515,1.284124424,-0.071751
Nauru,520,999,999,999,-0.740374717,0.473433783,-0.224703983,777,999,999,-0.643453721
Nepal,524,0.121815203,3.526595414,-0.575827253,0.000550171,0.259262853,1.755406863,0.561517989,-0.588023366,-0.178256774,0.151943712
Netherlands,528,-0.074298953,0.214485777,0.140884237,-0.089335025,0.310893458,0.064033146,-0.222120298,-0.112321323,0.116243806,-0.118006269
Netherlands Antilles,528,0.289290832,-0.289009437,-0.098592378,0.872921817,0.07080991,0.345957965,-0.338188589,0.458844751,-0.672925789,777
Curacao,531,999,999,999,999,999,999,999,999,999,0.631876103
Aruba,533,0.52132658,-0.301429942,0.235812681,0.140240127,0.245160658,0.160051051,-0.476662159,0.264869825,0.158523531,0.220246755
Sint Maarten,534,999,999,999,999,999,999,999,999,999,1.450526256
New Caledonia,540,7.711515383,-0.933000729,41.06565574,0.90701401,-0.484486331,0.563311933,-0.191219351,2.050322318,2.632043036,-0.541338198
Vanuatu,548,1.311616954,7.488964346,777,999,999,-0.794780721,777,999,999,999
New Zealand,554,-0.386192817,0.081314766,0.190693168,-0.2177645,0.272620169,-0.010830981,-0.172131977,0.42224366,0.089863923,0.072326956
Nicaragua,558,2.968896132,1.693874934,-0.838643488,-0.235496289,-0.12706225,1.0889186,-0.203020993,0.189925911,1.548137054,-0.572464702
Niger,562,-0.979817293,1.660574928,777,999,28.51110092,1.625667219,-0.979291997,5.178330475,4.237000157,777
Nigeria,566,0.79660791,1.9730747,-0.364011519,0.775182232,1.968879908,-0.339725244,0.126008819,0.323348834,0.385591456,0.110437796
Niue,570,999,999,999,999,999,999,777,999,999,999
Norfolk Island,574,999,999,1.406826802,777,999,999,999,999,999,999
Norway,578,0.451369816,0.138881916,-0.248034015,0.716497678,-0.564923381,0.351213897,-0.191200051,1.691845779,-0.496521199,0.653913378
Micronesia,583,999,777,999,999,11.35003529,777,999,1.520737736,-0.639140085,1.570061673
Marshall Islands,584,14.59871465,-0.927318347,777,999,18.88798243,777,999,-0.311419218,0.082526987,-0.053269266
Palau,585,777,999,999,3.489692308,-0.66847137,-0.24754522,-0.47967033,777,999,3.997127125
Pakistan,586,1.059905794,2.767007754,-0.738228883,-0.107283996,1.095105601,0.531564039,-0.240041896,-0.164285987,0.278963907,-0.081369565
Panama,591,0.568015819,0.053064045,-0.124656911,0.018895659,0.552039656,0.025434211,-0.300436581,0.540611409,0.814365535,0.565406288
Papua New Guinea,598,-0.126753592,1.798858571,-0.097048142,-0.643985543,-0.76809519,0.835329711,1.461143818,4.644629737,-0.023207579,-0.594165065
Paraguay,600,-0.120309225,-0.581723992,2.691154253,-0.541865293,0.573561628,-0.377841759,-0.227800653,6.328282518,-0.53696075,1.611188049
Peru,604,-0.170532244,0.357790531,-0.002515487,0.149681398,0.379896653,-0.194646695,-0.171860919,3.508189251,0.252793244,-0.025238926
Philippines,608,-0.132375501,-0.324545787,0.102059673,-0.260507355,2.008049453,-0.632493718,-0.087196,0.402899738,-0.296060688,0.157187784
Pitcairn Islands,612,999,999,-0.498821956,777,999,999,999,999,999,999
Poland,616,-0.128615908,0.113543671,1.009999207,-0.251007538,0.839388173,0.417680738,-0.12399066,0.701010939,0.368823216,0.01674325
Portugal,620,-0.39596815,0.092592566,-0.014905933,0.135292072,0.100142941,-0.16999722,-0.047563722,0.317970019,-0.129546384,0.091270206
Guinea-Bissau,624,999,999,999,999,999,777,999,-0.72244898,5.617647059,-0.914444444
Timor-Leste,626,999,999,1.123310404,777,999,-0.734017134,777,999,999,999
Qatar,634,0.242462619,0.043729173,0.303424303,0.573745099,0.205574393,0.553211667,-0.584162925,0.651377743,0.574865226,0.635189043
Reunion,638,999,0.179691861,-0.072828394,-0.483832947,1.743343256,0.936111865,-0.853975498,-0.395331414,-0.263319204,4.627128146
